,dev,train,uuas,limit,slavic
0,pl,zh,0.5965767399682612,3996,False
1,pl,be,0.7610896999924431,10000,True
4,pl,slk,0.7559888158391899,5000,True
5,pl,slv,0.753230559963727,5000,True
6,pl,slv,0.7540240308320109,5000,True
7,pl,uk,0.7734073906143731,5000,True
8,pl,zh,0.6020932517191869,3996,False
9,pl,be,0.7635078969243557,10000,True
10,pl,be,0.7620343081689716,10000,True
13,pl,pl,0.8451220433764075,17722,True
14,pl,be,0.7244389027431422,5000,True
15,pl,be,0.7231164512960024,5000,True
16,pl,cs,0.7459004005138669,5000,True
17,pl,cs,0.7555731882415174,5000,True
18,pl,cs,0.7646036424091287,5000,True
19,pl,de,0.7471850676339454,5000,False
20,pl,de,0.74200861482657,5000,False
21,pl,de,0.7433688506007708,5000,False
22,pl,en,0.7071714652762034,5000,False
23,pl,en,0.71404821280133,5000,False
24,pl,en,0.710987682309378,5000,False
25,pl,es,0.720773823018212,5000,False
26,pl,es,0.7239854908184086,5000,False
27,pl,es,0.7237210005289806,5000,False
28,pl,fi,0.6696516285044963,5000,False
29,pl,fi,0.6560492707624878,5000,False
30,pl,fi,0.6653442152195269,5000,False
31,pl,fr,0.7299554144940679,5000,False
32,pl,fr,0.7332426509483866,5000,False
33,pl,fr,0.7305221793999849,5000,False
34,pl,id,0.6717297664928588,4481,False
35,pl,id,0.6795133378674526,4481,False
36,pl,id,0.6763772387213783,4481,False
37,pl,lv,0.6842363787500945,5000,False
38,pl,lv,0.687485830877352,5000,False
39,pl,lv,0.6879770271291469,5000,False
40,pl,pl,0.7994030076324341,5000,True
41,pl,pl,0.7871986699916874,5000,True
42,pl,pl,0.7938487115544473,5000,True
43,pl,ru,0.7698934481976876,5000,True
44,pl,ru,0.757122345651024,5000,True
45,pl,ru,0.7692511146376483,5000,True
46,pl,slk,0.7548175017002947,5000,True
47,pl,slk,0.7550442076626616,5000,True
48,pl,slv,0.7631678379808056,5000,True
49,pl,uk,0.7707247033930326,5000,True
50,pl,uk,0.774465351772085,5000,True
51,pl,zh,0.6018665457568201,3996,False
52,pl,be,0.7642257991385173,10000,True
53,pl,cs,0.7869719640293207,10000,True
54,pl,pl,0.8456888082823245,17722,True
55,pl,pl,0.3887629411320184,100,True
56,pl,pl,0.8360538048817351,10000,True
57,pl,pl,0.7991763016700673,5000,True
58,pl,cs,0.7804352754477443,10000,True
59,pl,en,0.7330159449860199,10000,False
60,pl,lv,0.7290485906446006,12520,False
61,pl,zh,0.6116904707927152,3996,False
62,pl,es,0.741177359631225,10000,False
63,pl,lv,0.7239099221642863,10000,False
64,pl,slv,0.7833446686314517,10000,True
65,pl,slk,0.7703846444494824,8482,True
66,pl,uk,0.7787349807299933,5495,True
67,pl,ru,0.789881357213028,10000,True
68,pl,de,0.7600695231617924,10000,False
69,pl,fi,0.6904330083881206,10000,False
70,pl,be,0.7638101715408449,10000,True
71,pl,fr,0.7494143429305524,10000,False
72,pl,fi,0.6947026373460289,12215,False
73,pl,id,0.6762638857401949,4481,False
74,pl,be,0.7166175470414872,5000,True
75,pl,cs,0.7568956396886571,5000,True
76,pl,de,0.7362276127862163,5000,False
77,pl,en,0.7161641351167536,5000,False
78,pl,es,0.7206604700370286,5000,False
79,pl,fi,0.6879770271291469,10000,False
80,pl,fi,0.6569560946119549,5000,False
81,pl,cs,0.8112295020025694,68494,True
82,pl,fr,0.7298042771858233,5000,False
83,pl,id,0.6718809038011033,4481,False
84,pl,lv,0.6840096727877276,5000,False
85,pl,ru,0.7714803899342553,5000,True
86,pl,slk,0.7544774427567446,5000,True
87,pl,slv,0.762185445477216,5000,True
88,pl,uk,0.7681931534799366,5000,True
89,pl,zh,0.5955187788105494,3996,False
90,pl,pl,0.5754175168140255,1000,True
91,pl,pl,0.7586337187334694,2500,True
92,pl,be,0.7366810247109499,5000,True
93,pl,cs,0.7600695231617924,5000,True
94,pl,de,0.7398549081840853,5000,False
95,pl,en,0.7112143882717449,5000,False
96,pl,es,0.7227008236983299,5000,False
97,pl,fi,0.6486057583314441,5000,False
98,pl,fr,0.7276127862162775,5000,False
99,pl,id,0.673203355248243,4481,False
100,pl,lv,0.6980654424544699,5000,False
101,pl,pl,0.7989118113806393,5000,True
102,pl,ru,0.7583314441169803,5000,True
103,pl,slk,0.7508879316859367,5000,True
104,pl,slv,0.7553842666062117,5000,True
105,pl,uk,0.774465351772085,5000,True
106,pl,zh,0.5936295624574927,3996,False
107,pl,be,0.7314290032494521,5000,True
108,pl,cs,0.7796795889065216,10000,True
109,pl,cs,0.781190961988967,10000,True
110,pl,cs,0.7803974911206831,10000,True
111,pl,de,0.7641502304843951,10000,False
112,pl,de,0.7586337187334694,10000,False
113,pl,de,0.763847955867906,10000,False
114,pl,de,0.7600317388347314,10000,False
115,pl,en,0.736152044132094,10000,False
116,pl,en,0.7372477896168669,10000,False
117,pl,en,0.7343761807602207,10000,False
118,pl,en,0.7396659865487796,10000,False
119,pl,es,0.7399682611652686,10000,False
120,pl,es,0.7385324567369456,10000,False
121,pl,es,0.743973399833749,10000,False
122,pl,es,0.7399304768382076,10000,False
123,pl,fi,0.6915287538728935,10000,False
124,pl,fi,0.6959495201390463,10000,False
125,pl,fi,0.6915287538728935,10000,False
126,pl,fr,0.7522481674601376,10000,False
127,pl,fr,0.7520592458248319,10000,False
128,pl,fr,0.7522859517871987,10000,False
129,pl,fr,0.7497921862011637,10000,False
130,pl,id,0.6766039446837452,4481,False
131,pl,id,0.6701428247562911,4481,False
132,pl,id,0.6711630015869418,4481,False
133,pl,id,0.667611274843195,4481,False
134,pl,lv,0.7190357439733999,10000,False
135,pl,lv,0.7276505705433386,10000,False
136,pl,lv,0.7230408826418802,10000,False
137,pl,lv,0.7230786669689413,10000,False
138,pl,pl,0.8335978236227612,10000,True
139,pl,pl,0.8351091967052067,10000,True
140,pl,pl,0.8327287841003552,10000,True
141,pl,pl,0.8331066273709665,10000,True
142,pl,ru,0.7851583163303861,10000,True
143,pl,ru,0.786783042394015,10000,True
144,pl,ru,0.7875765132622988,10000,True
145,pl,ru,0.7858762185445477,10000,True
146,pl,slk,0.7649437013526789,8482,True
147,pl,slk,0.7690244086752815,8482,True
148,pl,slk,0.7685709967505479,8482,True
149,pl,slk,0.7656993878939016,8482,True
150,pl,slv,0.7813043149701504,10000,True
151,pl,slv,0.7839114335373687,10000,True
152,pl,slv,0.7821733544925565,10000,True
153,pl,slv,0.7875387289352377,10000,True
154,pl,uk,0.7721605078213557,5495,True
155,pl,uk,0.7738608025391068,5495,True
156,pl,uk,0.7764679211063251,5495,True
157,pl,uk,0.7692888989647094,5495,True
158,pl,zh,0.5989571525731127,3996,False
159,pl,zh,0.5990705055542961,3996,False
160,pl,zh,0.5992216428625406,3996,False
161,pl,zh,0.5708078289125671,3996,False
162,pl,be,0.3704753268344291,100,True
163,pl,be,0.3789768004231845,100,True
164,pl,be,0.37463160281115393,100,True
165,pl,be,0.3801103302350185,100,True
166,pl,cs,0.39556412000302277,100,True
167,pl,cs,0.39934255270913627,100,True
168,pl,cs,0.4019874556034157,100,True
169,pl,cs,0.40013602357742006,100,True
170,pl,de,0.3882717448802237,100,False
171,pl,de,0.39231466787576513,100,False
172,pl,de,0.3857779792941888,100,False
173,pl,de,0.38846066651552935,100,False
174,pl,en,0.3845310965011713,100,False
175,pl,en,0.39873800347615806,100,False
176,pl,en,0.3921257462404595,100,False
177,pl,en,0.40984659563213177,100,False
178,pl,es,0.43334844706415776,100,False
179,pl,es,0.4404519005516512,100,False
180,pl,es,0.44755535403914454,100,False
181,pl,es,0.43754250736794376,100,False
182,pl,fi,0.36741479634247715,100,False
183,pl,fi,0.36601677624121515,100,False
184,pl,fi,0.36692360009068237,100,False
185,pl,fi,0.3667346784553767,100,False
186,pl,fr,0.4259049346331142,100,False
187,pl,fr,0.4295322300309832,100,False
188,pl,fr,0.41494747978538504,100,False
189,pl,fr,0.42220207058112297,100,False
190,pl,id,0.3963198065442454,100,False
191,pl,id,0.3888385097861407,100,False
192,pl,id,0.3977933952996297,100,False
193,pl,id,0.38415325323056,100,False
194,pl,lv,0.36579007027884836,100,False
195,pl,lv,0.3686616791354946,100,False
196,pl,lv,0.3688883850978614,100,False
197,pl,lv,0.3677926396130885,100,False
198,pl,pl,0.3847955867905993,100,True
199,pl,pl,0.38097936975742464,100,True
200,pl,pl,0.38517343006121063,100,True
201,pl,pl,0.38320864505403157,100,True
202,pl,ru,0.38033703619738535,100,True
203,pl,ru,0.3714955036650797,100,True
204,pl,ru,0.3776165646489836,100,True
205,pl,ru,0.37689866243482206,100,True
206,pl,slk,0.3895564120003023,100,True
207,pl,slk,0.3917479029698481,100,True
208,pl,slk,0.38713821506838964,100,True
209,pl,slk,0.38944305901911885,100,True
210,pl,slv,0.4094687523615204,100,True
211,pl,slv,0.39446837451824984,100,True
212,pl,slv,0.397868963953752,100,True
213,pl,slv,0.4133227537217562,100,True
214,pl,uk,0.38173505629864735,100,True
215,pl,uk,0.39802010126199655,100,True
216,pl,uk,0.3925413738381319,100,True
217,pl,uk,0.3988513564573415,100,True
218,pl,zh,0.3939016096123328,100,False
219,pl,zh,0.38377540995994863,100,False
220,pl,zh,0.386118038237739,100,False
221,pl,zh,0.38165948764452506,100,False
222,pl,be,0.607723116451296,1000,True
223,pl,be,0.6093856268419859,1000,True
224,pl,be,0.5928738759162699,1000,True
225,pl,be,0.6278243784478198,1000,True
226,pl,cs,0.6515907201692738,1000,True
227,pl,cs,0.6034534874933878,1000,True
228,pl,cs,0.6640973324265095,1000,True
229,pl,cs,0.6480767777525882,1000,True
230,pl,de,0.6249527695911736,1000,False
231,pl,de,0.5984659563213179,1000,False
232,pl,de,0.6257084561323962,1000,False
233,pl,de,0.6206831406332654,1000,False
234,pl,en,0.6490591702561778,1000,False
235,pl,en,0.641577873498073,1000,False
236,pl,en,0.6028867225874707,1000,False
237,pl,en,0.6177359631224968,1000,False
238,pl,es,0.6347011259729464,1000,False
239,pl,es,0.6368926169424922,1000,False
240,pl,es,0.6325096350034006,1000,False
241,pl,es,0.6123328043527545,1000,False
242,pl,fi,0.539446837451825,1000,False
243,pl,fi,0.5678984357288597,1000,False
244,pl,fi,0.5480238796947027,1000,False
245,pl,fi,0.5630242575379732,1000,False
246,pl,fr,0.6400287160885665,1000,False
247,pl,fr,0.6366659109801255,1000,False
248,pl,fr,0.651099523917479,1000,False
249,pl,fr,0.6394619511826495,1000,False
250,pl,id,0.5764376936446762,1000,False
251,pl,id,0.59121136552558,1000,False
252,pl,id,0.5933650721680647,1000,False
253,pl,id,0.5870550895488551,1000,False
254,pl,lv,0.5717902214161565,1000,False
255,pl,lv,0.5549384115468904,1000,False
256,pl,lv,0.5844479709816368,1000,False
257,pl,lv,0.5817274994332351,1000,False
258,pl,pl,0.5396357590871307,1000,True
259,pl,pl,0.566311493992292,1000,True
260,pl,pl,0.5626086299403008,1000,True
261,pl,pl,0.5832010881886194,1000,True
262,pl,ru,0.6113504118491649,1000,True
263,pl,ru,0.6446006196629638,1000,True
264,pl,ru,0.6150154915740951,1000,True
265,pl,ru,0.6125972946421824,1000,True
266,pl,slk,0.6425224816746014,1000,True
267,pl,slk,0.6348522632811909,1000,True
268,pl,slk,0.6236681024710949,1000,True
269,pl,slk,0.6107836469432479,1000,True
270,pl,slv,0.6557092118189375,1000,True
271,pl,slv,0.6254817501700295,1000,True
272,pl,slv,0.6307337716315272,1000,True
273,pl,slv,0.6500415627597672,1000,True
274,pl,uk,0.6454318748583088,1000,True
275,pl,uk,0.6092344895337414,1000,True
276,pl,uk,0.6122950200256934,1000,True
277,pl,uk,0.6068918612559511,1000,True
278,pl,zh,0.5177208493916723,1000,False
279,pl,zh,0.5408070732260258,1000,False
280,pl,zh,0.535517267437467,1000,False
281,pl,zh,0.5327590115620041,1000,False
282,pl,be,0.7069447593138366,3000,True
283,pl,be,0.6964785007179022,3000,True
284,pl,be,0.7001435804428323,3000,True
285,pl,be,0.6976875991838586,3000,True
286,pl,cs,0.717146527620343,3000,True
287,pl,cs,0.7424242424242424,3000,True
288,pl,cs,0.7341116904707927,3000,True
289,pl,cs,0.70705811229502,3000,True
290,pl,de,0.7175999395450767,3000,False
291,pl,de,0.715748507519081,3000,False
292,pl,de,0.7261391974608932,3000,False
293,pl,de,0.7258747071714653,3000,False
294,pl,en,0.683291770573566,3000,False
295,pl,en,0.6900173807904482,3000,False
296,pl,en,0.6848031436560115,3000,False
297,pl,en,0.6840096727877276,3000,False
298,pl,es,0.7069069749867755,3000,False
299,pl,es,0.7155218015567143,3000,False
300,pl,es,0.7016927378523389,3000,False
301,pl,es,0.7030529736265397,3000,False
302,pl,fi,0.6131640595480995,3000,False
303,pl,fi,0.6219678077533439,3000,False
304,pl,fi,0.6257840247865185,3000,False
305,pl,fi,0.6315650268268722,3000,False
306,pl,fr,0.7089095443210156,3000,False
307,pl,fr,0.6979143051462253,3000,False
308,pl,fr,0.7102697800952165,3000,False
309,pl,fr,0.7157862918461422,3000,False
310,pl,id,0.6586186050026449,3000,False
311,pl,id,0.651099523917479,3000,False
312,pl,id,0.664815234640671,3000,False
313,pl,id,0.6578251341343611,3000,False
314,pl,lv,0.6583541147132169,3000,False
315,pl,lv,0.6609612332804353,3000,False
316,pl,lv,0.646338698707776,3000,False
317,pl,lv,0.6591098012544396,3000,False
318,pl,pl,0.7614675432630544,3000,True
319,pl,pl,0.7470339303257009,3000,True
320,pl,pl,0.7578780321922467,3000,True
321,pl,pl,0.7645280737550064,3000,True
322,pl,ru,0.746240459457417,3000,True
323,pl,ru,0.7451447139726441,3000,True
324,pl,ru,0.7496788332199803,3000,True
325,pl,ru,0.7505100884153253,3000,True
326,pl,slk,0.7167309000226706,3000,True
327,pl,slk,0.7007859140028716,3000,True
328,pl,slk,0.7231164512960024,3000,True
329,pl,slk,0.7148416836696139,3000,True
330,pl,slv,0.740610594725308,3000,True
331,pl,slv,0.7338094158543036,3000,True
332,pl,slv,0.7307488853623517,3000,True
333,pl,slv,0.7343006121060984,3000,True
334,pl,uk,0.7471094989798232,3000,True
335,pl,uk,0.7369455150003779,3000,True
336,pl,uk,0.7486586563893297,3000,True
337,pl,uk,0.7385324567369456,3000,True
338,pl,zh,0.5922693266832918,3000,False
339,pl,zh,0.5683896319806544,3000,False
340,pl,zh,0.593176150532759,3000,False
341,pl,zh,0.5895110708078289,3000,False
342,pl,be,0.6871079876067407,2500,True
343,pl,be,0.6870324189526185,2500,True
344,pl,be,0.6922844404141162,2500,True
345,pl,be,0.6840474571147888,2500,True
346,pl,cs,0.7188468223380942,2500,True
347,pl,cs,0.718242273105116,2500,True
348,pl,cs,0.7261769817879543,2500,True
349,pl,cs,0.7198669991687449,2500,True
350,pl,de,0.714614977707247,2500,False
351,pl,de,0.7103831330763999,2500,False
352,pl,de,0.7103075644222776,2500,False
353,pl,de,0.7136703695307186,2500,False
354,pl,en,0.682725005667649,2500,False
355,pl,en,0.6797400438298193,2500,False
356,pl,en,0.6871079876067407,2500,False
357,pl,en,0.6726743746693872,2500,False
358,pl,es,0.6907730673316709,2500,False
359,pl,es,0.6817426131640596,2500,False
360,pl,es,0.7018438751605834,2500,False
361,pl,es,0.6892616942492255,2500,False
362,pl,fi,0.6178871004307414,2500,False
363,pl,fi,0.6081009597219074,2500,False
364,pl,fi,0.6038313307639991,2500,False
365,pl,fi,0.6135796871457719,2500,False
366,pl,fr,0.6906597143504875,2500,False
367,pl,fr,0.7046776996901685,2500,False
368,pl,fr,0.7086072697045266,2500,False
369,pl,fr,0.711516662888234,2500,False
370,pl,id,0.6553313685483262,2500,False
371,pl,id,0.6413511675357062,2500,False
372,pl,id,0.6437693644676188,2500,False
373,pl,id,0.6502304843950729,2500,False
374,pl,lv,0.6464142673618983,2500,False
375,pl,lv,0.6375727348295926,2500,False
376,pl,lv,0.6371571072319202,2500,False
377,pl,lv,0.6399153631073831,2500,False
378,pl,pl,0.7438600468525656,2500,True
379,pl,pl,0.739212574624046,2500,True
380,pl,pl,0.739514849240535,2500,True
381,pl,pl,0.7505100884153253,2500,True
382,pl,ru,0.7289730219904783,2500,True
383,pl,ru,0.714614977707247,2500,True
384,pl,ru,0.7179022141615657,2500,True
385,pl,ru,0.7397415552029019,2500,True
386,pl,slk,0.7070958966220812,2500,True
387,pl,slk,0.7182044887780549,2500,True
388,pl,slk,0.7100052898057886,2500,True
389,pl,slk,0.7167686843497317,2500,True
390,pl,slv,0.7201692737852339,2500,True
391,pl,slv,0.7055467392125746,2500,True
392,pl,slv,0.7096652308622383,2500,True
393,pl,slv,0.7246278243784479,2500,True
394,pl,uk,0.734187259124915,2500,True
395,pl,uk,0.7246278243784479,2500,True
396,pl,uk,0.7031663266077232,2500,True
397,pl,uk,0.7055089548855135,2500,True
398,pl,zh,0.5900022670596237,2500,False
399,pl,zh,0.583087735207436,2500,False
400,pl,zh,0.5573188241517418,2500,False
401,pl,zh,0.5810851658731958,2500,False
402,pl,be,0.752361520441321,7500,True
403,pl,be,0.7525504420766266,7500,True
404,pl,be,0.7468450086903953,7500,True
405,pl,be,0.7542129524673166,7500,True
406,pl,cs,0.7776770195722814,7500,True
407,pl,cs,0.7704979974306657,7500,True
408,pl,cs,0.7791128240006046,7500,True
409,pl,cs,0.7737852338849845,7500,True
410,pl,de,0.7560643844933121,7500,False
411,pl,de,0.7545907957379279,7500,False
412,pl,de,0.7488475780246354,7500,False
413,pl,de,0.755724325549762,7500,False
414,pl,en,0.729161943625784,7500,False
415,pl,en,0.7352452202826267,7500,False
416,pl,en,0.7329781606589587,7500,False
417,pl,en,0.7316557092118189,7500,False
418,pl,es,0.7252701579384871,7500,False
419,pl,es,0.7248167460137535,7500,False
420,pl,es,0.7327514546965919,7500,False
421,pl,es,0.7295020025693343,7500,False
422,pl,fi,0.6795511221945137,7500,False
423,pl,fi,0.6853699085619285,7500,False
424,pl,fi,0.6795511221945137,7500,False
425,pl,fi,0.6772084939167233,7500,False
426,pl,fr,0.7442378901231769,7500,False
427,pl,fr,0.7449935766643996,7500,False
428,pl,fr,0.7393259276052293,7500,False
429,pl,fr,0.7456359102244389,7500,False
430,pl,id,0.6756215521801556,4481,False
431,pl,id,0.677132925262601,4481,False
432,pl,id,0.6757726894884002,4481,False
433,pl,id,0.6682536084032343,4481,False
434,pl,lv,0.7210760976347012,7500,False
435,pl,lv,0.7148416836696139,7500,False
436,pl,lv,0.713783722511902,7500,False
437,pl,lv,0.718242273105116,7500,False
438,pl,pl,0.8199954658807527,7500,True
439,pl,pl,0.8208645054031588,7500,True
440,pl,pl,0.8232449180080103,7500,True
441,pl,pl,0.8217335449255648,7500,True
442,pl,ru,0.7826645507443513,7500,True
443,pl,ru,0.7859895715257311,7500,True
444,pl,ru,0.7822867074737399,7500,True
445,pl,ru,0.7855739439280587,7500,True
446,pl,slk,0.7633567596161113,7500,True
447,pl,slk,0.7609763470112597,7500,True
448,pl,slk,0.758520365752286,7500,True
449,pl,slk,0.7637723872137837,7500,True
450,pl,slv,0.7684576437693644,7500,True
451,pl,slv,0.7754477442756744,7500,True
452,pl,slv,0.7745031360991461,7500,True
453,pl,slv,0.7729539786896396,7500,True
454,pl,uk,0.775032116678002,5495,True
455,pl,uk,0.7797173732335827,5495,True
456,pl,uk,0.7752966069674299,5495,True
457,pl,uk,0.777828156880526,5495,True
458,pl,zh,0.6046248016322829,3996,False
459,pl,zh,0.6085165873195798,3996,False
460,pl,zh,0.6008463689261694,3996,False
461,pl,zh,0.6013375651779642,3996,False
